filename,reason
63.jpg,No face detected
77.jpg,No face detected
162.jpg,No face detected
88.jpg,No face detected
172.jpeg,No face detected
125.jpeg,No face detected
89.jpg,No face detected
163.jpg,No face detected
62.jpg,No face detected
74.jpg,No face detected
60.jpg,No face detected
48.jpg,No face detected
149.jpg,No face detected
161.jpg,No face detected
129.jpeg,No face detected
160.jpg,No face detected
148.jpg,No face detected
49.jpg,No face detected
61.jpg,No face detected
75.jpg,No face detected
59.jpg,No face detected
65.jpg,No face detected
164.jpg,No face detected
159.jpg,No face detected
165.jpg,No face detected
64.jpg,No face detected
58.jpg,No valid eye ROI found
8.jpg,No face detected
66.jpg,No face detected
72.jpg,No face detected
167.jpg,No face detected
99.jpg,No face detected
132.jpeg,No face detected
166.jpg,No face detected
98.jpg,No face detected
73.jpg,No face detected
67.jpg,No face detected
9.jpg,No face detected
14.jpg,No face detected
101.jpg,No face detected
115.jpg,No face detected
142.jpeg,No face detected
178.jpeg,No face detected
181.jpeg,No valid eye ROI found
114.jpg,No face detected
100.jpg,No face detected
128.jpg,No face detected
29.jpg,No face detected
17.jpg,No face detected
116.jpg,No face detected
102.jpg,No face detected
123.jpeg,No face detected
103.jpg,No face detected
117.jpg,No face detected
16.jpg,No face detected
12.jpg,No face detected
113.jpg,No face detected
107.jpg,No face detected
175.jpeg,No face detected
106.jpg,No face detected
112.jpg,No face detected
13.jpg,No face detected
11.jpg,No face detected
104.jpg,No face detected
110.jpg,No valid eye ROI found
138.jpg,No face detected
111.jpg,No face detected
105.jpg,No face detected
10.jpg,No face detected
38.jpg,No face detected
21.jpg,No face detected
35.jpg,No face detected
108.jpg,No face detected
120.jpg,No face detected
135.jpg,No face detected
121.jpg,No face detected
109.jpg,No face detected
20.jpg,No face detected
36.jpg,No face detected
22.jpg,No face detected
176.jpeg,No face detected
136.jpg,No face detected
23.jpg,No face detected
37.jpg,No face detected
33.jpg,No face detected
177.jpeg,No face detected
26.jpg,No face detected
32.jpg,No face detected
18.jpg,No face detected
24.jpg,No face detected
30.jpg,No face detected
131.jpg,No face detected
119.jpg,No face detected
118.jpg,No face detected
130.jpg,No face detected
124.jpg,No face detected
25.jpg,No face detected
19.jpg,No face detected
42.jpg,No face detected
4.jpg,No face detected
56.jpg,No face detected
180.jpg,No face detected
81.jpg,No face detected
95.jpg,No face detected
143.jpg,No face detected
127.jpeg,No face detected
170.jpeg,No face detected
94.jpg,No face detected
80.jpg,No face detected
5.jpg,No face detected
57.jpg,No face detected
43.jpg,No face detected
55.jpg,No face detected
7.jpg,No face detected
69.jpg,No face detected
82.jpg,No face detected
154.jpg,No face detected
140.jpg,No face detected
141.jpg,No face detected
155.jpg,No face detected
83.jpg,No face detected
97.jpg,No face detected
54.jpg,No face detected
6.jpg,No face detected
78.jpg,No face detected
2.jpg,No face detected
151.jpg,No face detected
145.jpg,No face detected
93.jpg,No face detected
179.jpg,No face detected
86.jpg,No face detected
144.jpg,No face detected
150.jpg,No face detected
3.jpg,No valid eye ROI found
79.jpg,No face detected
47.jpg,No face detected
53.jpg,No face detected
1.jpg,No valid eye ROI found
146.jpg,No face detected
152.jpg,No face detected
84.jpg,No face detected
90.jpg,No face detected
126.jpeg,No face detected
91.jpg,No face detected
85.jpg,No face detected
153.jpg,No face detected
147.jpg,No face detected
52.jpg,No face detected
46.jpg,No face detected
63.jpg,No face detected
77.jpg,No face detected
176.jpg,No face detected
172.jpeg,No face detected
89.jpg,No face detected
164.jpeg,No face detected
62.jpg,No face detected
74.jpg,No face detected
60.jpg,No face detected
48.jpg,No face detected
149.jpg,No face detected
175.jpg,No face detected
168.jpeg,No face detected
148.jpg,No face detected
49.jpg,No face detected
75.jpg,No face detected
59.jpg,No face detected
71.jpg,No face detected
65.jpg,No face detected
169.jpeg,No face detected
153.jpeg,No face detected
64.jpg,No face detected
70.jpg,No face detected
58.jpg,No face detected
8.jpg,No face detected
66.jpg,No face detected
165.jpeg,No face detected
72.jpg,No face detected
99.jpg,No face detected
173.jpeg,No face detected
98.jpg,No face detected
73.jpg,No face detected
67.jpg,No face detected
9.jpg,No face detected
14.jpg,No face detected
28.jpg,No face detected
129.jpg,No face detected
101.jpg,No face detected
115.jpg,No face detected
100.jpg,No face detected
17.jpg,No face detected
102.png,No face detected
158.jpeg,No face detected
174.jpeg,No face detected
135.jpeg,No face detected
103.jpg,No face detected
117.jpg,No face detected
162.jpeg,No face detected
16.jpg,No face detected
12.jpg,No face detected
163.jpeg,No face detected
113.jpg,No face detected
107.jpg,No face detected
159.jpeg,No face detected
112.jpg,No face detected
13.jpg,No face detected
39.jpg,No face detected
11.jpg,No face detected
104.jpg,No face detected
138.jpg,No face detected
139.jpg,No face detected
111.jpg,No face detected
105.jpg,No face detected
38.jpg,No face detected
21.jpg,No face detected
35.jpg,No face detected
108.jpg,No face detected
120.jpg,No face detected
134.jpg,No face detected
156.jpeg,No face detected
121.jpg,No face detected
109.jpg,No face detected
34.jpg,No face detected
20.jpg,No face detected
36.jpg,No face detected
22.jpg,No face detected
160.jpeg,No face detected
123.jpg,No face detected
136.jpg,No face detected
37.jpg,No face detected
33.jpg,No face detected
27.jpg,No face detected
132.jpg,No face detected
126.jpg,No face detected
127.jpg,No face detected
133.jpg,No face detected
26.jpg,No face detected
18.jpg,No face detected
24.jpg,No face detected
125.jpg,No face detected
131.jpg,No face detected
119.jpg,No face detected
157.jpeg,No face detected
118.jpg,No face detected
124.jpg,No face detected
25.jpg,No face detected
19.jpg,No face detected
166.jpeg,No face detected
42.jpg,No face detected
4.jpg,No face detected
56.jpg,No face detected
81.jpg,No face detected
142.jpg,No face detected
80.jpg,No face detected
5.jpg,No face detected
43.jpg,No face detected
55.jpg,No face detected
7.jpg,No face detected
69.jpg,No valid eye ROI found
96.jpg,No face detected
140.jpg,No face detected
141.jpg,No face detected
97.jpg,No face detected
68.jpg,No face detected
40.jpg,No face detected
54.jpg,No face detected
6.jpg,No face detected
78.jpg,No face detected
50.jpg,No face detected
44.jpg,No face detected
151.jpg,No face detected
145.jpg,No face detected
87.jpg,No face detected
86.jpg,No face detected
92.jpg,No face detected
144.jpg,No face detected
150.jpg,No face detected
45.jpg,No face detected
79.jpg,No face detected
47.jpg,No face detected
53.jpg,No face detected
1.jpg,No face detected
146.jpg,No face detected
152.jpg,No face detected
84.jpg,No face detected
90.jpg,No face detected
171.jpeg,No face detected
91.jpg,No face detected
85.jpg,No face detected
147.jpg,No face detected
52.jpg,No face detected
46.jpg,No face detected
